epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9207,0.94487,2.26128,1.43076,0.64762,0.2409,0.37143,0.14548,1.6125,3.43764,2.58643,0.000653333,0.000653333,0.000653333
2,79.6566,1.0526,1.76381,1.51689,0.13651,0.19903,0.07377,0.02207,2.40708,3.68684,3.7556,0.00129822,0.00129822,0.00129822
3,115.473,1.08071,1.64503,1.53781,0.0039,0.42718,0.00288,0.00094,nan,nan,nan,0.00192111,0.00192111,0.00192111
4,149.376,1.13225,1.60354,1.58809,0.33176,0.35437,0.22722,0.06504,2.59713,4.13536,4.27232,0.001901,0.001901,0.001901
5,183.815,1.09853,1.51983,1.55058,0.3172,0.38835,0.25356,0.08909,1.87818,3.67414,2.94829,0.001868,0.001868,0.001868
6,217.105,1.06952,1.43968,1.52787,0.40598,0.37864,0.32072,0.17632,1.6493,2.64857,2.37378,0.001835,0.001835,0.001835
7,251.147,1.01089,1.35142,1.48961,0.43111,0.45146,0.39888,0.19718,1.67398,2.70076,2.43676,0.001802,0.001802,0.001802
8,286.196,0.97829,1.31383,1.47446,0.58726,0.49029,0.49715,0.2965,1.41007,2.25812,2.2206,0.001769,0.001769,0.001769
9,321.254,0.96354,1.26363,1.46471,0.69359,0.57282,0.6385,0.41826,1.3227,1.55772,2.00327,0.001736,0.001736,0.001736
10,356.915,0.91461,1.21173,1.42033,0.59685,0.44559,0.49599,0.19736,1.61776,2.11199,2.11018,0.001703,0.001703,0.001703
11,390.322,0.9269,1.22738,1.42837,0.73673,0.50263,0.60785,0.42938,1.06587,1.6038,1.69191,0.00167,0.00167,0.00167
12,423.431,0.88076,1.16283,1.39563,0.68503,0.61236,0.66284,0.46043,1.12021,1.2937,1.71808,0.001637,0.001637,0.001637
13,458.603,0.8558,1.11734,1.38035,0.76293,0.56796,0.67055,0.48624,1.15877,1.24733,1.86315,0.001604,0.001604,0.001604
14,494.702,0.85498,1.12824,1.3744,0.62376,0.61164,0.64085,0.4572,1.11768,1.30892,1.68372,0.001571,0.001571,0.001571
15,529.046,0.8374,1.09622,1.35357,0.66021,0.6699,0.7071,0.52372,1.02547,1.10316,1.59468,0.001538,0.001538,0.001538
16,563.461,0.82396,1.06428,1.34559,0.77757,0.52913,0.66196,0.48826,1.00513,1.30141,1.58371,0.001505,0.001505,0.001505
17,596.623,0.80216,1.04877,1.32906,0.70638,0.5956,0.67669,0.5183,0.92348,1.21231,1.52248,0.001472,0.001472,0.001472
18,629.759,0.78874,1.00275,1.32673,0.77595,0.58738,0.70535,0.5216,0.92473,1.16797,1.5273,0.001439,0.001439,0.001439
19,663.781,0.78203,1.00207,1.31456,0.6972,0.59241,0.67787,0.50431,0.99442,1.21098,1.6199,0.001406,0.001406,0.001406
20,699.071,0.75812,0.97953,1.31024,0.78114,0.63107,0.74289,0.57934,0.8191,0.97854,1.41986,0.001373,0.001373,0.001373
21,733.444,0.76278,0.96564,1.30064,0.76017,0.63086,0.74289,0.57492,0.84301,1.01133,1.42102,0.00134,0.00134,0.00134
22,768.491,0.74161,0.93525,1.28454,0.73856,0.7131,0.76136,0.58302,0.8165,0.89346,1.37867,0.001307,0.001307,0.001307
23,802.733,0.75035,0.94754,1.29339,0.90965,0.58649,0.76952,0.58107,0.90095,0.89767,1.48618,0.001274,0.001274,0.001274
24,835.525,0.7151,0.9116,1.25944,0.73274,0.7054,0.75962,0.58054,0.87524,0.94594,1.47335,0.001241,0.001241,0.001241
25,870.451,0.73378,0.91721,1.28777,0.85064,0.62136,0.75807,0.56122,0.96836,1.00786,1.53352,0.001208,0.001208,0.001208
26,905.112,0.70439,0.89919,1.26323,0.80804,0.67476,0.76752,0.60262,0.79782,0.87647,1.35883,0.001175,0.001175,0.001175
27,939.4,0.72371,0.92358,1.27081,0.77818,0.64715,0.7465,0.58067,0.84441,0.9638,1.4176,0.001142,0.001142,0.001142
28,973.451,0.72183,0.90727,1.26843,0.78232,0.69417,0.76837,0.58185,1.01381,0.9405,1.55862,0.001109,0.001109,0.001109
29,1007.09,0.68582,0.87028,1.25449,0.81628,0.69903,0.79239,0.62848,0.75549,0.83439,1.34027,0.001076,0.001076,0.001076
30,1040.36,0.67939,0.86278,1.24344,0.78291,0.64777,0.76723,0.59459,0.8243,0.89021,1.36503,0.001043,0.001043,0.001043
31,1075.04,0.6869,0.86301,1.23708,0.78128,0.67476,0.76773,0.60555,0.7734,0.89255,1.34316,0.00101,0.00101,0.00101
32,1109.24,0.65595,0.82556,1.23138,0.84435,0.60569,0.7469,0.58617,0.81938,0.93566,1.37068,0.000977,0.000977,0.000977
33,1144.21,0.65655,0.82363,1.23025,0.77884,0.71845,0.79744,0.62597,0.75921,0.85008,1.31163,0.000944,0.000944,0.000944
34,1177.65,0.65026,0.80399,1.22372,0.81891,0.67476,0.79073,0.59256,0.84036,0.90529,1.43847,0.000911,0.000911,0.000911
35,1210.59,0.66226,0.80881,1.23118,0.83983,0.68447,0.80104,0.64312,0.73624,0.83515,1.30906,0.000878,0.000878,0.000878
36,1244.7,0.64595,0.79351,1.20915,0.81351,0.72001,0.81023,0.64346,0.72589,0.7944,1.30306,0.000845,0.000845,0.000845
37,1279.32,0.64268,0.79213,1.22683,0.87962,0.67476,0.81503,0.65008,0.71698,0.81892,1.27649,0.000812,0.000812,0.000812
38,1314.04,0.62454,0.79019,1.19636,0.85442,0.64078,0.78238,0.6313,0.71617,0.88526,1.30173,0.000779,0.000779,0.000779
39,1348.38,0.63359,0.76456,1.204,0.86818,0.66505,0.80966,0.6634,0.63375,0.72038,1.22331,0.000746,0.000746,0.000746
40,1381.91,0.61906,0.74847,1.18238,0.9032,0.6794,0.81772,0.67705,0.64814,0.74111,1.2249,0.000713,0.000713,0.000713
41,1414.98,0.60901,0.74331,1.19102,0.85117,0.69408,0.79992,0.65562,0.64814,0.77761,1.22606,0.00068,0.00068,0.00068
42,1451.96,0.59793,0.73747,1.18172,0.85508,0.67961,0.8092,0.65534,0.71654,0.83556,1.2756,0.000647,0.000647,0.000647
43,1487.46,0.60505,0.75099,1.18872,0.91074,0.6934,0.81984,0.63586,0.72863,0.81411,1.31267,0.000614,0.000614,0.000614
44,1524.21,0.58189,0.70031,1.16447,0.86221,0.69903,0.81328,0.66077,0.67001,0.80001,1.2128,0.000581,0.000581,0.000581
45,1561.74,0.59141,0.72715,1.1592,0.85955,0.71301,0.81698,0.66232,0.65924,0.79712,1.23237,0.000548,0.000548,0.000548
46,1596.74,0.5832,0.70117,1.16223,0.83747,0.71845,0.8107,0.64792,0.6725,0.86342,1.23583,0.000515,0.000515,0.000515
47,1630.72,0.58296,0.68734,1.16687,0.84434,0.6846,0.80175,0.65528,0.72237,0.84816,1.28576,0.000482,0.000482,0.000482
48,1666.23,0.56032,0.68405,1.14812,0.8648,0.7233,0.82963,0.67458,0.70431,0.75894,1.2576,0.000449,0.000449,0.000449
49,1702.16,0.56639,0.67265,1.16249,0.8889,0.70874,0.82237,0.67347,0.69499,0.73433,1.24118,0.000416,0.000416,0.000416
50,1741.26,0.56524,0.66444,1.16396,0.91442,0.67476,0.82244,0.67206,0.67999,0.74271,1.22901,0.000383,0.000383,0.000383
51,1779.54,0.45251,0.61301,1.09835,0.85222,0.69417,0.81355,0.66253,0.65954,0.76981,1.21977,0.00035,0.00035,0.00035
52,1813.74,0.42949,0.53753,1.0727,0.88126,0.68454,0.82015,0.67082,0.62122,0.74628,1.20604,0.000317,0.000317,0.000317
53,1845.76,0.4273,0.52531,1.07018,0.90159,0.68932,0.83149,0.68858,0.60716,0.70835,1.18478,0.000284,0.000284,0.000284
54,1879.15,0.399,0.4857,1.04788,0.8533,0.71845,0.81914,0.67953,0.61765,0.73791,1.18467,0.000251,0.000251,0.000251
