epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.171,2.06382,3.33601,2.0847,0.54848,0.12866,0.04339,0.01118,2.37814,3.43003,2.49188,0.000543038,0.000543038,0.000543038
2,143.818,2.05313,2.77548,2.09244,0.00102,0.16397,0.00133,0.0003,3.94423,4.21011,4.76263,0.00107151,0.00107151,0.00107151
3,206.738,2.10334,2.70578,2.13368,0.00422,0.02709,0.00134,0.00036,nan,nan,nan,0.00157248,0.00157248,0.00157248
4,273.456,2.11795,2.68345,2.13716,0.73504,0.04237,0.05453,0.01724,2.65421,19.9698,2.89013,0.00154323,0.00154323,0.00154323
5,337.07,2.05413,2.56308,2.09246,0.11825,0.1911,0.09914,0.03388,2.45417,5.51292,2.53078,0.00150197,0.00150197,0.00150197
6,402.062,2.02311,2.48558,2.03751,0.10913,0.22821,0.06286,0.01906,2.5434,4.43355,2.49015,0.00146071,0.00146071,0.00146071
7,467.671,1.97661,2.38431,2.01411,0.16839,0.19575,0.12864,0.03976,2.66583,2.93232,2.48117,0.00141945,0.00141945,0.00141945
8,531.766,1.98941,2.37895,2.00819,0.32906,0.23742,0.20041,0.06504,2.39875,3.41214,2.35196,0.00137819,0.00137819,0.00137819
9,597.745,1.95788,2.31809,1.9848,0.35855,0.22335,0.21806,0.07769,2.37598,2.81106,2.29002,0.00133693,0.00133693,0.00133693
10,662.009,1.92598,2.23722,1.95421,0.2076,0.293,0.17714,0.05604,2.38478,2.81383,2.34202,0.00129568,0.00129568,0.00129568
11,727.678,1.91497,2.21196,1.9407,0.24315,0.26977,0.2118,0.07018,2.50193,2.57326,2.36768,0.00125442,0.00125442,0.00125442
12,793.272,1.90748,2.14682,1.92093,0.38225,0.34106,0.28536,0.09664,2.32015,2.42057,2.22849,0.00121316,0.00121316,0.00121316
13,856.907,1.89137,2.13078,1.90847,0.26263,0.37156,0.20553,0.06838,2.30202,2.70771,2.13636,0.0011719,0.0011719,0.0011719
14,921.203,1.87935,2.09604,1.90192,0.32895,0.36882,0.27812,0.09573,2.33196,2.36794,2.22052,0.00113064,0.00113064,0.00113064
15,986.026,1.84136,2.06528,1.87591,0.37473,0.33551,0.29393,0.09821,2.2553,2.4317,2.1439,0.00108938,0.00108938,0.00108938
16,1049.6,1.83114,2.02167,1.8551,0.36569,0.33235,0.28649,0.10278,2.25369,2.26561,2.1147,0.00104813,0.00104813,0.00104813
